#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALB	HBB	9606.ENSP00000295897	9606.ENSP00000494175	0	0	0	0	0.042	0	0	0.603	0.604
ALB	XDH	9606.ENSP00000295897	9606.ENSP00000368727	0	0	0	0	0	0	0	0.605	0.605
ALB	CYP1A2	9606.ENSP00000295897	9606.ENSP00000342007	0	0	0	0	0.108	0	0	0.593	0.622
ALB	CYP2E1	9606.ENSP00000295897	9606.ENSP00000440689	0	0	0	0	0.149	0	0	0.591	0.637
ALB	GPX2	9606.ENSP00000295897	9606.ENSP00000374265	0	0	0	0	0.062	0	0	0.715	0.721
ALB	CYP3A4	9606.ENSP00000295897	9606.ENSP00000498939	0	0	0	0	0.135	0	0	0.715	0.744
ALB	RNASE1	9606.ENSP00000295897	9606.ENSP00000381057	0	0	0	0	0	0	0	0.772	0.772
ALB	RBP4	9606.ENSP00000295897	9606.ENSP00000360522	0	0	0	0	0.299	0.099	0	0.687	0.785
ALB	CTRB1	9606.ENSP00000295897	9606.ENSP00000354294	0	0	0	0	0.073	0.052	0	0.821	0.829
ALB	CTRB2	9606.ENSP00000295897	9606.ENSP00000303963	0	0	0	0	0.065	0.052	0	0.822	0.829
ALB	CST3	9606.ENSP00000295897	9606.ENSP00000381448	0	0	0	0	0	0.097	0	0.820	0.830
ALB	GPT2	9606.ENSP00000295897	9606.ENSP00000345282	0	0	0	0	0.068	0	0	0.889	0.892
ALB	CSN2	9606.ENSP00000295897	9606.ENSP00000341030	0	0	0	0	0.049	0	0	0.896	0.896
ALB	ENSP00000497443	9606.ENSP00000295897	9606.ENSP00000497443	0	0	0	0	0	0.900	0	0	0.900
ALB	GPT	9606.ENSP00000295897	9606.ENSP00000378408	0	0	0	0	0	0	0	0.928	0.928
ALB	GH1	9606.ENSP00000295897	9606.ENSP00000312673	0	0	0	0	0	0.900	0	0.390	0.936
ALB	SERPINA7	9606.ENSP00000295897	9606.ENSP00000329374	0	0	0	0	0.644	0.065	0	0.848	0.945
ALB	GC	9606.ENSP00000295897	9606.ENSP00000421725	0	0	0.123	0.653	0.686	0	0	0.936	0.980
ALB	CYCS	9606.ENSP00000295897	9606.ENSP00000307786	0	0	0	0	0.056	0	0	0.986	0.986
ALB	MB	9606.ENSP00000295897	9606.ENSP00000352835	0	0	0	0	0	0	0	0.992	0.992
ALB	LRP2	9606.ENSP00000295897	9606.ENSP00000496870	0	0	0	0	0.065	0	0	0.994	0.994
ALB	HP	9606.ENSP00000295897	9606.ENSP00000348170	0	0	0	0	0.198	0.077	0	0.993	0.995
ALB	LALBA	9606.ENSP00000295897	9606.ENSP00000301046	0	0	0	0	0.042	0	0	0.997	0.997
ALB	ORM2	9606.ENSP00000295897	9606.ENSP00000394936	0	0	0	0	0.382	0.072	0	0.998	0.998
ALB	INS	9606.ENSP00000295897	9606.ENSP00000380432	0	0	0	0	0.056	0	0	0.999	0.999
CA3	TG	9606.ENSP00000285381	9606.ENSP00000220616	0	0	0	0	0.044	0	0	0.491	0.493
CA3	FTH1	9606.ENSP00000285381	9606.ENSP00000273550	0	0	0	0	0	0.053	0	0.482	0.488
CA3	RNASE1	9606.ENSP00000285381	9606.ENSP00000381057	0	0	0	0	0.062	0	0	0.468	0.479
CA3	MB	9606.ENSP00000285381	9606.ENSP00000352835	0	0	0	0	0.165	0	0	0.586	0.640
CRP	HMOX1	9606.ENSP00000255030	9606.ENSP00000216117	0	0	0	0	0	0	0	0.474	0.474
CRP	TG	9606.ENSP00000255030	9606.ENSP00000220616	0	0	0	0	0.067	0	0	0.583	0.594
CRP	EPO	9606.ENSP00000255030	9606.ENSP00000252723	0	0	0	0	0.159	0	0	0.715	0.750
CRP	CYP3A4	9606.ENSP00000255030	9606.ENSP00000498939	0	0	0	0	0.082	0	0	0.450	0.473
CRP	HPX	9606.ENSP00000255030	9606.ENSP00000265983	0	0	0	0	0.238	0	0	0.370	0.499
CRP	XDH	9606.ENSP00000255030	9606.ENSP00000368727	0	0	0	0	0.042	0	0	0.507	0.507
CRP	TPO	9606.ENSP00000255030	9606.ENSP00000329869	0	0	0	0	0	0	0	0.570	0.570
CRP	GPX2	9606.ENSP00000255030	9606.ENSP00000374265	0	0	0	0	0.084	0	0	0.592	0.610
CRP	CYGB	9606.ENSP00000255030	9606.ENSP00000293230	0	0	0	0	0	0	0	0.696	0.696
CRP	GC	9606.ENSP00000255030	9606.ENSP00000421725	0	0	0	0	0.221	0	0	0.680	0.740
CRP	MB	9606.ENSP00000255030	9606.ENSP00000352835	0	0	0	0	0	0	0	0.764	0.764
CRP	RBP4	9606.ENSP00000255030	9606.ENSP00000360522	0	0	0	0	0.164	0	0	0.768	0.797
CRP	ORM2	9606.ENSP00000255030	9606.ENSP00000394936	0	0	0	0	0.088	0	0	0.869	0.875
CRP	GPT2	9606.ENSP00000255030	9606.ENSP00000345282	0	0	0	0	0.070	0	0	0.872	0.875
CRP	CST3	9606.ENSP00000255030	9606.ENSP00000381448	0	0	0	0	0	0	0	0.877	0.877
CRP	ORM1	9606.ENSP00000255030	9606.ENSP00000259396	0	0	0	0	0.090	0	0	0.881	0.887
CRP	INS	9606.ENSP00000255030	9606.ENSP00000380432	0	0	0	0	0.082	0	0	0.887	0.891
CRP	HP	9606.ENSP00000255030	9606.ENSP00000348170	0	0	0	0	0.116	0	0	0.893	0.902
CRP	GPT	9606.ENSP00000255030	9606.ENSP00000378408	0	0	0	0	0.070	0	0	0.917	0.919
CSN2	TG	9606.ENSP00000341030	9606.ENSP00000220616	0	0	0	0	0.060	0	0	0.450	0.461
CSN2	LALBA	9606.ENSP00000341030	9606.ENSP00000301046	0	0	0	0	0.500	0	0	0.970	0.984
CSN2	CTRB2	9606.ENSP00000341030	9606.ENSP00000303963	0	0	0	0	0.060	0	0	0.511	0.521
CSN2	CYCS	9606.ENSP00000341030	9606.ENSP00000307786	0	0	0	0	0	0	0	0.594	0.594
CSN2	CTRB1	9606.ENSP00000341030	9606.ENSP00000354294	0	0	0	0	0.056	0	0	0.511	0.519
CSN2	INS	9606.ENSP00000341030	9606.ENSP00000380432	0	0	0	0	0.047	0	0	0.567	0.570
CSN2	MB	9606.ENSP00000341030	9606.ENSP00000352835	0	0	0	0	0	0	0	0.690	0.690
CST3	EPO	9606.ENSP00000381448	9606.ENSP00000252723	0	0	0	0	0	0	0	0.400	0.400
CST3	ORM1	9606.ENSP00000381448	9606.ENSP00000259396	0	0	0	0	0	0	0	0.400	0.400
CST3	CYCS	9606.ENSP00000381448	9606.ENSP00000307786	0	0	0	0	0	0	0	0.445	0.445
CST3	HP	9606.ENSP00000381448	9606.ENSP00000348170	0	0	0	0	0	0	0	0.436	0.436
CST3	MB	9606.ENSP00000381448	9606.ENSP00000352835	0	0	0	0	0	0	0	0.492	0.492
CST3	RBP4	9606.ENSP00000381448	9606.ENSP00000360522	0	0	0	0	0.067	0	0	0.419	0.434
CST3	GPT	9606.ENSP00000381448	9606.ENSP00000378408	0	0	0	0	0.067	0.047	0	0.633	0.645
CST3	INS	9606.ENSP00000381448	9606.ENSP00000380432	0	0	0	0	0.101	0	0.400	0.594	0.761
CST3	LRP2	9606.ENSP00000381448	9606.ENSP00000496870	0	0	0	0	0	0	0	0.419	0.419
CST3	GC	9606.ENSP00000381448	9606.ENSP00000421725	0	0	0	0	0	0	0	0.420	0.420
CTRB1	HPX	9606.ENSP00000354294	9606.ENSP00000265983	0	0	0	0	0.055	0	0	0.500	0.507
CTRB1	LALBA	9606.ENSP00000354294	9606.ENSP00000301046	0	0	0	0	0.047	0	0	0.581	0.583
CTRB1	CTRB2	9606.ENSP00000354294	9606.ENSP00000303963	0	0	0.048	0.985	0.416	0.198	0.900	0.046	0.949
CTRB1	CYCS	9606.ENSP00000354294	9606.ENSP00000307786	0	0	0	0	0.056	0	0	0.682	0.687
CTRB1	MB	9606.ENSP00000354294	9606.ENSP00000352835	0	0	0	0	0.046	0.106	0	0.733	0.752
CTRB1	RNASE1	9606.ENSP00000354294	9606.ENSP00000381057	0	0	0	0	0.262	0	0	0.451	0.577
CTRB1	INS	9606.ENSP00000354294	9606.ENSP00000380432	0	0	0	0	0.336	0	0	0.735	0.817
CTRB2	HPX	9606.ENSP00000303963	9606.ENSP00000265983	0	0	0	0	0.055	0	0	0.459	0.467
CTRB2	LALBA	9606.ENSP00000303963	9606.ENSP00000301046	0	0	0	0	0.072	0	0	0.581	0.594
CTRB2	RNASE1	9606.ENSP00000303963	9606.ENSP00000381057	0	0	0	0	0.262	0	0	0.438	0.568
CTRB2	CYCS	9606.ENSP00000303963	9606.ENSP00000307786	0	0	0	0	0.056	0	0	0.683	0.688
CTRB2	MB	9606.ENSP00000303963	9606.ENSP00000352835	0	0	0	0	0.046	0.106	0	0.734	0.753
CTRB2	INS	9606.ENSP00000303963	9606.ENSP00000380432	0	0	0	0	0.253	0	0	0.734	0.793
CYB5A	HMOX1	9606.ENSP00000341625	9606.ENSP00000216117	0	0	0	0	0.072	0	0.500	0.264	0.628
CYB5A	HBA2	9606.ENSP00000341625	9606.ENSP00000251595	0	0	0	0	0.059	0	0	0.603	0.610
CYB5A	NGB	9606.ENSP00000341625	9606.ENSP00000298352	0	0	0	0	0.059	0	0	0.631	0.638
CYB5A	CYB5D2	9606.ENSP00000341625	9606.ENSP00000301391	0	0	0	0	0.078	0	0	0.717	0.728
CYB5A	CYCS	9606.ENSP00000341625	9606.ENSP00000307786	0	0	0	0	0.092	0.295	0	0.995	0.996
CYB5A	HBA1	9606.ENSP00000341625	9606.ENSP00000322421	0	0	0	0	0.059	0	0	0.597	0.604
CYB5A	MARC1	9606.ENSP00000341625	9606.ENSP00000355877	0	0	0	0	0.110	0	0	0.389	0.433
CYB5A	HBB	9606.ENSP00000341625	9606.ENSP00000494175	0	0	0	0	0.065	0	0	0.505	0.518
CYB5A	MT-CYB	9606.ENSP00000341625	9606.ENSP00000354554	0	0	0	0	0	0	0	0.629	0.629
CYB5A	CYP1A2	9606.ENSP00000341625	9606.ENSP00000342007	0	0	0	0	0.059	0.314	0	0.848	0.893
CYB5A	NENF	9606.ENSP00000341625	9606.ENSP00000355955	0	0	0	0	0.126	0	0	0.937	0.943
CYB5A	CYP2E1	9606.ENSP00000341625	9606.ENSP00000440689	0	0	0	0	0.087	0.314	0	0.941	0.959
CYB5A	CYP3A4	9606.ENSP00000341625	9606.ENSP00000498939	0	0	0	0	0.060	0.314	0	0.944	0.960
CYB5A	MB	9606.ENSP00000341625	9606.ENSP00000352835	0	0	0	0	0.059	0	0	0.988	0.988
CYB5A	CYB5R1	9606.ENSP00000341625	9606.ENSP00000356218	0	0	0	0	0.123	0.111	0	0.992	0.993
CYB5A	CYB5R2	9606.ENSP00000341625	9606.ENSP00000437041	0	0	0	0	0.117	0.111	0	0.991	0.993
CYB5A	CYB5RL	9606.ENSP00000341625	9606.ENSP00000434343	0	0	0	0	0.110	0.108	0	0.993	0.994
CYB5A	POR	9606.ENSP00000341625	9606.ENSP00000419970	0	0	0	0	0.071	0.099	0	0.997	0.997
CYB5A	CYB5R3	9606.ENSP00000341625	9606.ENSP00000354468	0	0	0	0	0.132	0.254	0.750	0.999	0.999
CYB5B	NGB	9606.ENSP00000308430	9606.ENSP00000298352	0	0	0	0	0.059	0	0	0.632	0.639
CYB5B	CYB5D2	9606.ENSP00000308430	9606.ENSP00000301391	0	0	0	0	0.074	0	0	0.659	0.671
CYB5B	CYCS	9606.ENSP00000308430	9606.ENSP00000307786	0	0	0	0	0.106	0.213	0	0.995	0.996
CYB5B	MT-CYB	9606.ENSP00000308430	9606.ENSP00000354554	0	0	0	0	0	0	0	0.626	0.626
CYB5B	CYP1A2	9606.ENSP00000308430	9606.ENSP00000342007	0	0	0	0	0.059	0.071	0	0.849	0.856
CYB5B	CYP2E1	9606.ENSP00000308430	9606.ENSP00000440689	0	0	0	0	0.059	0.071	0	0.893	0.898
CYB5B	CYP3A4	9606.ENSP00000308430	9606.ENSP00000498939	0	0	0	0	0.055	0.071	0	0.920	0.923
CYB5B	MARC1	9606.ENSP00000308430	9606.ENSP00000355877	0	0	0	0	0.087	0	0.900	0.494	0.949
CYB5B	NENF	9606.ENSP00000308430	9606.ENSP00000355955	0	0	0	0	0.108	0	0	0.961	0.964
CYB5B	MB	9606.ENSP00000308430	9606.ENSP00000352835	0	0	0	0	0.059	0	0	0.988	0.988
CYB5B	CYB5RL	9606.ENSP00000308430	9606.ENSP00000434343	0	0	0	0	0.110	0.108	0	0.993	0.994
CYB5B	CYB5R2	9606.ENSP00000308430	9606.ENSP00000437041	0	0	0	0	0.110	0.111	0	0.993	0.994
CYB5B	CYB5R1	9606.ENSP00000308430	9606.ENSP00000356218	0	0	0	0	0.122	0.286	0	0.993	0.995
CYB5B	POR	9606.ENSP00000308430	9606.ENSP00000419970	0	0	0	0	0.073	0.099	0	0.997	0.997
CYB5B	CYB5R3	9606.ENSP00000308430	9606.ENSP00000354468	0	0	0	0	0.127	0.289	0.900	0.992	0.999
CYB5R1	HBA2	9606.ENSP00000356218	9606.ENSP00000251595	0	0	0	0	0	0.046	0.400	0.123	0.454
CYB5R1	CYCS	9606.ENSP00000356218	9606.ENSP00000307786	0	0	0	0	0.062	0.070	0	0.432	0.462
CYB5R1	HBB	9606.ENSP00000356218	9606.ENSP00000494175	0	0	0	0	0.049	0	0.400	0.098	0.440
CYB5R1	POR	9606.ENSP00000356218	9606.ENSP00000419970	0	0	0	0	0.049	0.071	0.116	0.672	0.709
CYB5R2	HBA2	9606.ENSP00000437041	9606.ENSP00000251595	0	0	0	0	0	0.046	0.400	0.122	0.453
CYB5R2	CYCS	9606.ENSP00000437041	9606.ENSP00000307786	0	0	0	0	0.055	0.070	0	0.400	0.427
CYB5R2	POR	9606.ENSP00000437041	9606.ENSP00000419970	0	0	0	0	0	0.071	0.116	0.612	0.653
CYB5R2	HBB	9606.ENSP00000437041	9606.ENSP00000494175	0	0	0	0	0.044	0	0.400	0.086	0.430
CYB5R3	HBA2	9606.ENSP00000354468	9606.ENSP00000251595	0	0	0	0	0	0.299	0.720	0.641	0.923
CYB5R3	CYCS	9606.ENSP00000354468	9606.ENSP00000307786	0	0	0	0	0.055	0.077	0	0.452	0.480
CYB5R3	HBA1	9606.ENSP00000354468	9606.ENSP00000322421	0	0	0	0	0.042	0.051	0.720	0.622	0.890
CYB5R3	MT-CYB	9606.ENSP00000354468	9606.ENSP00000354554	0	0	0	0	0	0	0	0.440	0.440
CYB5R3	POR	9606.ENSP00000354468	9606.ENSP00000419970	0	0	0	0	0.065	0.166	0.116	0.662	0.736
CYB5R3	HBB	9606.ENSP00000354468	9606.ENSP00000494175	0	0	0	0	0	0	0.720	0.476	0.847
CYB5R3	MARC1	9606.ENSP00000354468	9606.ENSP00000355877	0	0	0	0	0	0	0.900	0.402	0.937
CYB5RL	HBA2	9606.ENSP00000434343	9606.ENSP00000251595	0	0	0	0	0	0.046	0.400	0.126	0.456
CYB5RL	CYCS	9606.ENSP00000434343	9606.ENSP00000307786	0	0	0	0	0.055	0.069	0	0.432	0.457
CYB5RL	XDH	9606.ENSP00000434343	9606.ENSP00000368727	0	0	0	0	0	0	0	0.401	0.401
CYB5RL	POR	9606.ENSP00000434343	9606.ENSP00000419970	0	0	0	0	0	0.071	0.116	0.662	0.698
CYB5RL	HBB	9606.ENSP00000434343	9606.ENSP00000494175	0	0	0	0	0	0	0.400	0.101	0.437
CYCS	HMOX1	9606.ENSP00000307786	9606.ENSP00000216117	0	0	0	0	0	0	0	0.827	0.827
CYCS	TG	9606.ENSP00000307786	9606.ENSP00000220616	0	0	0	0	0	0	0	0.587	0.587
CYCS	EPO	9606.ENSP00000307786	9606.ENSP00000252723	0	0	0	0	0	0	0	0.419	0.418
CYCS	FTH1	9606.ENSP00000307786	9606.ENSP00000273550	0	0	0	0	0.042	0	0	0.642	0.642
CYCS	NGB	9606.ENSP00000307786	9606.ENSP00000298352	0	0	0	0	0.087	0	0	0.939	0.942
CYCS	LALBA	9606.ENSP00000307786	9606.ENSP00000301046	0	0	0	0	0	0	0	0.713	0.713
CYCS	CYP3A4	9606.ENSP00000307786	9606.ENSP00000498939	0	0	0	0	0	0.076	0	0.388	0.411
CYCS	CYP1A2	9606.ENSP00000307786	9606.ENSP00000342007	0	0	0	0	0	0.059	0	0.422	0.432
CYCS	GPT2	9606.ENSP00000307786	9606.ENSP00000345282	0	0	0	0	0.057	0.049	0	0.443	0.457
CYCS	CYP2E1	9606.ENSP00000307786	9606.ENSP00000440689	0	0	0	0	0	0.059	0	0.481	0.491
CYCS	GPT	9606.ENSP00000307786	9606.ENSP00000378408	0	0	0	0	0	0.049	0	0.597	0.600
CYCS	XDH	9606.ENSP00000307786	9606.ENSP00000368727	0	0	0	0	0	0	0	0.666	0.666
CYCS	POR	9606.ENSP00000307786	9606.ENSP00000419970	0	0	0	0	0.057	0.292	0	0.558	0.679
CYCS	GPX2	9606.ENSP00000307786	9606.ENSP00000374265	0	0	0	0	0.055	0	0	0.733	0.737
CYCS	INS	9606.ENSP00000307786	9606.ENSP00000380432	0	0	0	0	0	0	0	0.952	0.952
CYCS	RNASE1	9606.ENSP00000307786	9606.ENSP00000381057	0	0	0	0	0	0	0	0.964	0.964
CYCS	MB	9606.ENSP00000307786	9606.ENSP00000352835	0	0	0	0	0.087	0	0	0.996	0.996
CYCS	MT-CYB	9606.ENSP00000307786	9606.ENSP00000354554	0.095	0	0	0	0.088	0.417	0.593	0.991	0.998
CYGB	EPO	9606.ENSP00000293230	9606.ENSP00000252723	0	0	0	0	0	0	0	0.721	0.721
CYGB	INS	9606.ENSP00000293230	9606.ENSP00000380432	0	0	0	0	0	0	0	0.417	0.417
CYGB	MB	9606.ENSP00000293230	9606.ENSP00000352835	0	0	0	0.786	0	0	0	0.469	0.469
CYGB	GPT2	9606.ENSP00000293230	9606.ENSP00000345282	0	0	0	0	0	0	0	0.505	0.505
CYGB	HP	9606.ENSP00000293230	9606.ENSP00000348170	0	0	0	0	0.046	0.106	0	0.512	0.548
CYGB	GPX2	9606.ENSP00000293230	9606.ENSP00000374265	0	0	0	0	0	0	0	0.634	0.634
CYGB	GPT	9606.ENSP00000293230	9606.ENSP00000378408	0	0	0	0	0.074	0	0	0.696	0.706
CYGB	NGB	9606.ENSP00000293230	9606.ENSP00000298352	0	0	0	0	0.059	0	0	0.974	0.975
CYP1A2	HMOX1	9606.ENSP00000342007	9606.ENSP00000216117	0	0	0	0	0.055	0	0	0.400	0.409
CYP1A2	ORM1	9606.ENSP00000342007	9606.ENSP00000259396	0	0	0	0	0.100	0	0	0.379	0.417
CYP1A2	ORM2	9606.ENSP00000342007	9606.ENSP00000394936	0	0	0	0	0.067	0	0	0.396	0.412
CYP1A2	GPT	9606.ENSP00000342007	9606.ENSP00000378408	0	0	0	0	0.072	0.069	0	0.541	0.569
CYP1A2	INS	9606.ENSP00000342007	9606.ENSP00000380432	0	0	0	0	0.067	0	0	0.563	0.574
CYP1A2	POR	9606.ENSP00000342007	9606.ENSP00000419970	0	0	0	0	0	0.512	0	0.789	0.892
CYP1A2	XDH	9606.ENSP00000342007	9606.ENSP00000368727	0	0	0	0	0.077	0	0.910	0.432	0.948
CYP1A2	CYP3A4	9606.ENSP00000342007	9606.ENSP00000498939	0	0	0.233	0.604	0.250	0.076	0.909	0.442	0.968
CYP1A2	CYP2E1	9606.ENSP00000342007	9606.ENSP00000440689	0	0	0.158	0.762	0.146	0	0.913	0.748	0.982
CYP2E1	HMOX1	9606.ENSP00000440689	9606.ENSP00000216117	0	0	0	0	0	0	0	0.599	0.599
CYP2E1	GPT2	9606.ENSP00000440689	9606.ENSP00000345282	0	0	0	0	0.043	0.069	0	0.489	0.505
CYP2E1	MT-CYB	9606.ENSP00000440689	9606.ENSP00000354554	0	0	0	0	0	0.046	0	0.523	0.526
CYP2E1	XDH	9606.ENSP00000440689	9606.ENSP00000368727	0	0	0	0	0.064	0	0.101	0.489	0.533
CYP2E1	GPX2	9606.ENSP00000440689	9606.ENSP00000374265	0	0	0	0	0.060	0.045	0	0.583	0.593
CYP2E1	GPT	9606.ENSP00000440689	9606.ENSP00000378408	0	0	0	0	0.060	0.069	0	0.727	0.740
CYP2E1	INS	9606.ENSP00000440689	9606.ENSP00000380432	0	0	0	0	0.067	0	0	0.510	0.523
CYP2E1	POR	9606.ENSP00000440689	9606.ENSP00000419970	0	0	0	0	0	0.623	0	0.826	0.931
CYP2E1	CYP3A4	9606.ENSP00000440689	9606.ENSP00000498939	0	0	0.229	0.616	0.143	0.076	0.909	0.863	0.991
CYP3A4	EPO	9606.ENSP00000498939	9606.ENSP00000252723	0	0	0	0	0.068	0	0	0.547	0.560
CYP3A4	ORM1	9606.ENSP00000498939	9606.ENSP00000259396	0	0	0	0	0.106	0	0	0.727	0.745
CYP3A4	GPT2	9606.ENSP00000498939	9606.ENSP00000345282	0	0	0	0	0	0.051	0	0.489	0.494
CYP3A4	XDH	9606.ENSP00000498939	9606.ENSP00000368727	0	0	0	0	0.097	0	0.116	0.370	0.453
CYP3A4	GPT	9606.ENSP00000498939	9606.ENSP00000378408	0	0	0	0	0.067	0.051	0	0.676	0.688
CYP3A4	INS	9606.ENSP00000498939	9606.ENSP00000380432	0	0	0	0	0.069	0	0	0.541	0.554
CYP3A4	ORM2	9606.ENSP00000498939	9606.ENSP00000394936	0	0	0	0	0.106	0	0	0.735	0.753
CYP3A4	POR	9606.ENSP00000498939	9606.ENSP00000419970	0	0.899	0	0	0	0.294	0	0.900	0.992
CYP3A4	GC	9606.ENSP00000498939	9606.ENSP00000421725	0	0	0	0	0.149	0	0	0.350	0.423
ENSP00000497443	TG	9606.ENSP00000497443	9606.ENSP00000220616	0	0	0	0	0.432	0.053	0	0	0.439
ENSP00000497443	GH1	9606.ENSP00000497443	9606.ENSP00000312673	0	0	0.047	0.986	0	0.800	0	0	0.801
EPO	HMOX1	9606.ENSP00000252723	9606.ENSP00000216117	0	0	0	0	0	0	0	0.597	0.597
EPO	NGB	9606.ENSP00000252723	9606.ENSP00000298352	0	0	0	0	0.047	0	0	0.399	0.403
EPO	HBB	9606.ENSP00000252723	9606.ENSP00000494175	0	0	0	0	0	0	0	0.463	0.463
EPO	GPT	9606.ENSP00000252723	9606.ENSP00000378408	0	0	0	0	0.068	0	0	0.474	0.489
EPO	HP	9606.ENSP00000252723	9606.ENSP00000348170	0	0	0	0	0.085	0	0	0.524	0.546
EPO	MB	9606.ENSP00000252723	9606.ENSP00000352835	0	0	0	0	0	0	0	0.564	0.564
EPO	GPX2	9606.ENSP00000252723	9606.ENSP00000374265	0.042	0	0	0	0.045	0	0	0.612	0.614
EPO	INS	9606.ENSP00000252723	9606.ENSP00000380432	0	0	0	0	0.074	0	0	0.786	0.793
EPO	GH1	9606.ENSP00000252723	9606.ENSP00000312673	0	0	0	0	0.075	0	0.900	0.593	0.959
FTH1	HMOX1	9606.ENSP00000273550	9606.ENSP00000216117	0.089	0	0	0	0.108	0	0	0.657	0.697
FTH1	TG	9606.ENSP00000273550	9606.ENSP00000220616	0	0	0	0	0	0.064	0	0.699	0.707
FTH1	GPX2	9606.ENSP00000273550	9606.ENSP00000374265	0	0	0	0	0.067	0	0	0.386	0.403
FTH1	RNASE1	9606.ENSP00000273550	9606.ENSP00000381057	0	0	0	0	0.063	0	0	0.461	0.473
FTH1	MB	9606.ENSP00000273550	9606.ENSP00000352835	0	0	0	0	0.049	0	0	0.560	0.564
GC	TG	9606.ENSP00000421725	9606.ENSP00000220616	0	0	0	0	0.074	0	0	0.435	0.455
GC	ORM1	9606.ENSP00000421725	9606.ENSP00000259396	0	0	0	0	0.317	0.232	0	0.623	0.785
GC	HPX	9606.ENSP00000421725	9606.ENSP00000265983	0	0	0	0	0.407	0.232	0	0.651	0.827
GC	SERPINA7	9606.ENSP00000421725	9606.ENSP00000329374	0	0	0	0	0.148	0	0	0.585	0.631
